"performer","song","duration_ms","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","spotify_popularity","billboard_weeks"
"Robin Thicke","Sex Therapy",275146,0.692,0.521,3,-4.559,1,0.0301,0.679,0,0.216,0.373,112.024,4,50,19
"Rihanna","Sex With Me",206400,0.614,0.541,1,-5.659,0,0.0407,0.292,0,0.106,0.394,112.013,4,70,15
"Amber","Sexual (Li Da Di)",226226,0.623,0.898,4,-6.604,0,0.0309,0.000192,0.303,0.138,0.786,130.993,4,35,29
"Marvin Gaye","Sexual Healing",238600,0.805,0.601,0,-9.7,0,0.0579,0.119,0.000129,0.0581,0.746,94.382,4,72,21
"Max-A-Million","Sexual Healing",243613,0.775,0.745,8,-7.167,1,0.0563,0.0268,0,0.27,0.691,99.008,4,34,20
"Goddess","Sexual",3079157,0.397,0.214,2,-14.417,0,0.0384,0.845,0.000657,0.28,0.252,101.518,3,2,10
"Glee Cast Featuring Ricky Martin","Sexy And I Know It",197853,0.711,0.827,7,-4.9,1,0.194,0.183,0,0.226,0.564,130.022,4,38,1
"LMFAO","Sexy And I Know It",199480,0.707,0.861,7,-4.225,1,0.316,0.1,0,0.191,0.795,130.021,4,62,42
"Ray J & Yung Berg","Sexy Can I",204040,0.575,0.684,1,-6.007,1,0.325,0.299,0,0.614,0.926,172.155,4,67,26
"David Guetta Featuring Akon","Sexy Chick",194346,0.809,0.562,11,-7.694,0,0.0534,0.0816,0.000418,0.105,0.798,130.003,4,55,40
"Dr. Hook","Sexy Eyes",177426,0.734,0.735,9,-10.13,0,0.0524,0.373,0,0.227,0.883,103.862,4,55,21
"Glenn Frey","Sexy Girl",211440,0.797,0.32,2,-15.401,1,0.0282,0.27,3.32e-06,0.109,0.926,95.111,4,30,15
"Ike & Tina Turner","Sexy Ida (Part 1)",149960,0.858,0.479,1,-15.318,1,0.0547,0.0271,2.71e-06,0.0259,0.942,106.233,4,23,8
"Yung Berg Featuring Junior","Sexy Lady",229840,0.373,0.67,0,-7.098,1,0.303,0.00051,0,0.304,0.274,184.977,4,39,20
"Ne-Yo","Sexy Love",220853,0.622,0.503,8,-6.417,1,0.0433,0.265,0.000473,0.0596,0.58,93.984,4,69,22
"The Moments","Sexy Mama",532733,0.738,0.512,11,-12.143,1,0.0295,0.0868,0.0986,0.171,0.762,84.277,4,35,13
"Wisin & Yandel","Sexy Movimiento",209680,0.812,0.767,10,-6.233,0,0.0399,0.358,1.13e-05,0.142,0.766,104.99,4,68,3
"Arianna Featuring Pitbull","Sexy People (The Fiat Song)",208666,0.708,0.79,9,-4.49,0,0.0544,0.015,3.22e-05,0.272,0.657,131.075,4,32,1
"James Brown","Sexy, Sexy, Sexy",187373,0.95,0.561,4,-11.24,0,0.0466,0.27,0.04,0.0981,0.969,127.193,4,11,8
"Justin Timberlake","SexyBack",242733,0.967,0.583,7,-5.562,0,0.0789,0.0584,0,0.0519,0.964,117,4,76,36
"MFSB","Sexy",213200,0.652,0.791,9,-7.219,0,0.0761,0.223,0.435,0.0784,0.796,115.432,4,25,7
"Manfred Mann","Sha La La",151693,0.36,0.838,5,-4.208,1,0.0395,0.521,0,0.861,0.868,144.78,4,27,12
"Barbara Mason","Shackin' Up",259973,0.56,0.415,4,-11.856,0,0.0819,0.583,0.000302,0.166,0.618,128.001,4,18,4
"Mary Mary","Shackles (Praise You)",198346,0.779,0.834,7,-2.773,1,0.162,0.0343,0,0.0886,0.8,100.46,4,60,20
"Joe Dolce","Shaddap You Face",193160,0.762,0.705,4,-5.082,1,0.099,0.441,0,0.118,0.772,119.439,4,43,14
"Lana Del Rey","Shades Of Cool",342093,0.262,0.482,2,-6.863,0,0.0302,0.554,0.0161,0.244,0.0878,137.918,3,65,1
"Andy Gibb","Shadow Dancing",276000,0.742,0.6,7,-9.647,0,0.0319,0.142,0,0.0677,0.954,101.92,4,46,25
"John Mayer","Shadow Days",228173,0.52,0.559,2,-9.615,1,0.0254,0.0736,0.349,0.116,0.254,146.944,4,58,3
"Linkin Park","Shadow Of The Day",290360,0.534,0.393,11,-7.813,1,0.0292,0.00479,0.0107,0.107,0.0641,110.007,4,68,22
"Ashlee Simpson","Shadow",237426,0.445,0.73,0,-3.823,1,0.0286,0.0418,1.49e-05,0.0983,0.346,77.911,4,34,7
"The Killers","Shadowplay",247240,0.642,0.805,2,-7.238,1,0.0476,0.000781,0.579,0.393,0.352,145.029,4,56,1
"Anne Murray","Shadows In The Moonlight",209733,0.634,0.686,0,-5.86,1,0.0252,0.00368,2.93e-05,0.116,0.457,104.676,4,40,12
"LaVern Baker","Shadows Of Love",148146,0.698,0.372,0,-11.599,1,0.0465,0.903,0,0.295,0.909,115.635,4,0,4
"Pat Benatar","Shadows Of The Night",261560,0.522,0.682,6,-10.183,1,0.0344,0.29,1.23e-05,0.339,0.529,111.902,4,56,16
"5 Satins","Shadows",157293,0.515,0.312,7,-10.504,1,0.0262,0.817,0.000669,0.164,0.618,98.372,3,36,3
"Brook Benton","Shadrack",143373,0.566,0.399,6,-19.044,1,0.0997,0.769,0,0.105,0.907,79.078,4,5,9
"Mickey Lee Lane","Shaggy Dog",169213,0.624,0.869,10,-8.394,1,0.0381,0.149,0,0.105,0.887,104.813,4,9,9
"James & Bobby Purify","Shake A Tail Feather",127826,0.627,0.66,1,-6.86,1,0.033,0.0784,3.83e-06,0.366,0.96,76.621,4,32,9
"The Five Du-Tones","Shake A Tail Feather",142081,0.514,0.962,4,-4.951,1,0.168,0.694,2.65e-05,0.649,0.645,77.045,4,15,12
"Jr. Walker & The All Stars","Shake And Fingerpop",163533,0.668,0.752,5,-6.692,0,0.0448,0.0732,0,0.0602,0.96,122.284,4,38,8
"The Escape Club","Shake For The Sheik",242893,0.643,0.524,4,-11.841,0,0.172,0.00701,0.000202,0.309,0.551,200.348,4,10,14
"The Newbeats","Shake Hands (And Come Out Crying)",132226,0.546,0.828,0,-8.127,1,0.0354,0.0437,0.000557,0.11,0.96,142.742,4,1,3
"Mariah Carey","Shake It Off",232840,0.766,0.49,2,-6.553,1,0.147,0.21,0,0.11,0.832,134.143,4,59,26
"Taylor Swift","Shake It Off",219200,0.648,0.785,7,-5.414,1,0.165,0.0561,0,0.148,0.943,160.02,4,71,50
"Florence + The Machine","Shake It Out",277720,0.519,0.808,10,-4.097,1,0.0383,0.0126,0,0.105,0.251,107.505,4,65,20
"Glee Cast","Shake It Out",249293,0.689,0.382,5,-5.455,1,0.0272,0.837,0,0.108,0.335,107.244,4,54,1
"Cheryl Lynn","Shake It Up Tonight",342440,0.776,0.767,8,-8.221,1,0.0487,0.163,0.000452,0.159,0.898,120.765,4,35,7
"Bad Company","Shake It Up",238506,0.536,0.661,7,-12.063,1,0.0287,0.00825,0,0.0633,0.844,106.221,4,20,8
"The Cars","Shake It Up",215440,0.692,0.74,0,-7.466,1,0.0329,0.0723,8.83e-05,0.136,0.864,147.274,4,50,22
"The Dramatics","Shake It Well",351266,0.652,0.697,6,-12.109,1,0.289,0.198,2e-04,0.0604,0.95,178.689,4,19,6
"Ian Matthews","Shake It",205493,0.792,0.486,1,-11.291,0,0.0284,0.107,0.00221,0.121,0.848,130.738,4,37,19
"Metro Station","Shake It",179946,0.618,0.955,4,-3.836,1,0.0798,0.00221,3.09e-06,0.486,0.79,150.034,4,71,30
"Cage The Elephant","Shake Me Down",211373,0.457,0.613,9,-5.756,1,0.0295,0.00463,0.000441,0.0711,0.132,105.11,4,63,4
"Marion Worth","Shake Me I Rattle (Squeeze Me I Cry)",193306,0.468,0.16,8,-16.497,1,0.0282,0.67,0,0.313,0.519,94.298,3,1,8
"Four Tops","Shake Me, Wake Me (When It's Over)",161013,0.538,0.614,6,-7.22,0,0.0452,0.183,0,0.0962,0.711,130.277,4,31,9
"Three 6 Mafia Featuring Kalenna","Shake My",199133,0.84,0.628,8,-6.133,1,0.0508,0.0432,0,0.0868,0.496,122.016,4,27,3
"Brewer And Shipley","Shake Off The Demon",192539,0.647,0.918,4,-5.995,1,0.0315,0.522,1.96e-05,0.0922,0.966,115.459,4,12,3
"Pitbull Featuring T-Pain & Sean Paul","Shake Senora",214826,0.685,0.944,5,-5.19,1,0.34,0.134,0,0.362,0.543,128.013,4,60,2
"The Contours","Shake Sherry",162946,0.708,0.832,5,-2.993,1,0.0325,0.559,0.000149,0.411,0.936,120.749,4,1,9
"Too Short Featuring Lil Jon & The East Side Boyz","Shake That Monkey",278706,0.937,0.695,0,-6.932,1,0.134,0.000577,3.19e-05,0.295,0.457,99.997,4,57,20
"Eminem Featuring Nate Dogg","Shake That",274440,0.962,0.64,1,-5.987,0,0.12,0.0556,1.97e-05,0.158,0.533,106.995,4,74,21
"Train","Shake Up Christmas",232213,0.458,0.831,0,-2.187,1,0.0654,0.0031,0,0.337,0.572,81.531,4,82,1
"Mystikal","Shake Ya Ass",256973,0.914,0.607,7,-5.658,1,0.32,0.0626,0,0.0515,0.666,98.054,4,53,20
"Nelly, P. Diddy & Murphy Lee","Shake Ya Tailfeather",293666,0.662,0.808,1,-4.749,1,0.271,0.176,0,0.169,0.909,87.644,4,53,30
"Gregory Abbott","Shake You Down",245413,0.787,0.474,11,-10.384,0,0.0265,0.523,0,0.235,0.826,94.995,4,55,22
"The Jacksons","Shake Your Body (Down To The Ground)",224893,0.774,0.803,0,-4.959,1,0.0877,0.0307,0,0.347,0.813,117.778,4,57,22
"Peaches & Herb","Shake Your Groove Thing",346133,0.863,0.726,9,-6.649,1,0.0494,0.415,0.0299,0.0735,0.93,132.574,4,59,22
"Debbie Gibson","Shake Your Love",222933,0.783,0.747,11,-10.681,0,0.0478,0.405,0,0.0568,0.83,120.551,4,44,22
"Missy Elliott","Shake Your Pom Pom",232533,0.769,0.895,6,-3.914,0,0.199,0.108,0,0.291,0.539,98.466,4,30,1
"The Bar-Kays","Shake Your Rump To The Funk",209000,0.804,0.719,9,-12.398,1,0.0401,0.119,0.153,0.133,0.916,112.672,4,22,16
"Arthur Conley","Shake, Rattle & Roll",142346,0.504,0.67,7,-7.91,1,0.0716,0.0893,0,0.0702,0.801,159.529,4,21,7
"Jackie Wilson","Shake! Shake! Shake!",128641,0.524,0.741,8,-7.224,1,0.0562,0.369,2.84e-06,0.302,0.96,100.969,4,7,8
"Jay Ferguson","Shakedown Cruise",252440,0.648,0.544,9,-15.189,1,0.0301,0.162,0,0.129,0.808,113.711,4,27,14
"Jesse McCartney","Shake",188560,0.769,0.824,6,-2.778,1,0.0621,0.0928,0,0.0275,0.938,150.02,4,48,12
"Otis Redding","Shake",161480,0.583,0.471,7,-9.712,0,0.0692,0.2,0.0037,0.0871,0.796,163.364,4,51,6
"Spyro Gyra","Shaker Song",286946,0.707,0.873,5,-8.546,1,0.0667,0.355,0.897,0.151,0.772,94.118,4,37,5
"Sam Cooke","Shake",173613,0.543,0.846,5,-7.582,1,0.0553,0.782,0,0.312,0.782,151.557,4,32,11
"Phoebe Snow","Shakey Ground",257560,0.704,0.825,9,-9.018,1,0.13,0.293,5.69e-06,0.316,0.835,96.351,4,15,4
"The Temptations","Shakey Ground",241600,0.753,0.498,2,-13.497,1,0.0428,0.0264,0.501,0.0376,0.942,92.411,4,35,14
"Ying Yang Twins Featuring Pitbull","Shake",241586,0.918,0.681,1,-7.399,1,0.309,0.337,0,0.644,0.843,117.994,4,51,20
"The Guess Who","Shakin' All Over",159866,0.646,0.828,9,-9.278,1,0.0379,0.0666,0.0255,0.434,0.958,123.894,4,44,11
"Eddie Money","Shakin'",187800,0.614,0.789,9,-10.241,1,0.0342,0.0342,0.00132,0.114,0.899,113.701,4,55,9
"Daddy Yankee","Shaky Shaky",234320,0.899,0.626,6,-4.228,0,0.292,0.076,0,0.0631,0.873,88.007,4,70,2
"Lady Gaga & Bradley Cooper","Shallow",215733,0.572,0.385,7,-6.362,1,0.0308,0.371,0,0.231,0.323,95.799,4,88,45
"Lady Gaga & Bradley Cooper","Shallow",215733,0.572,0.385,7,-6.362,1,0.0308,0.371,0,0.231,0.323,95.799,4,89,45
"B.W. Stevenson","Shambala",149600,0.716,0.717,2,-10.368,1,0.0395,0.345,0,0.06,0.892,120.965,4,13,8
"Three Dog Night","Shambala",204106,0.559,0.588,2,-11.298,1,0.0366,0.62,0.00208,0.581,0.849,127.436,4,55,16
"Bobby Bare","Shame On Me",164800,0.639,0.315,7,-12.518,1,0.0258,0.882,0.000839,0.139,0.711,103.976,4,21,12
"Chuck Jackson","Shame On Me",162453,0.366,0.626,8,-7.356,1,0.0341,0.457,0.0105,0.18,0.394,100.631,4,2,9
"Bob Seger & The Silver Bullet Band","Shame On The Moon",295053,0.612,0.555,9,-7.524,1,0.0261,0.283,0.00267,0.0958,0.55,104.942,4,51,21
"Jimmy Reed","Shame, Shame, Shame",169306,0.571,0.498,2,-9.77,1,0.0303,0.965,0.5,0.307,0.9,161.805,4,35,8
"Shirley And Company","Shame, Shame, Shame",245786,0.734,0.744,7,-8.085,1,0.159,0.254,0.0333,0.15,0.77,101.609,4,33,16
"Magic Lanterns","Shame, Shame",178660,0.492,0.538,1,-11.915,0,0.0359,0.00837,0.0375,0.0707,0.895,125.216,4,19,12
"Evelyn ""Champagne"" King","Shame",392800,0.714,0.665,11,-10.948,0,0.0381,0.00588,0.131,0.0655,0.805,133.805,4,51,19
"Camila Cabello","Shameless",219742,0.377,0.651,4,-5.437,0,0.0588,0.0197,5.31e-05,0.174,0.0851,129.698,4,78,3
"The Weeknd","Shameless",253506,0.603,0.562,6,-8.311,1,0.0267,0.146,0,0.109,0.244,100.038,4,69,2
"The Motels","Shame",252173,0.67,0.656,0,-12.858,1,0.0308,0.00963,2.46e-05,0.235,0.582,117.836,4,28,13
"KISS","Shandi",216866,0.535,0.771,4,-6.463,1,0.0313,0.0714,0,0.0446,0.818,103.324,4,46,10
"John Denver","Shanghai Breezes",177693,0.359,0.248,4,-15.745,1,0.0743,0.838,9.8e-06,0.815,0.436,133.787,5,38,14
"Henry Gross","Shannon",233676,0.558,0.36,5,-11.771,1,0.0232,0.23,0.00248,0.18,0.509,87.838,4,44,20
"Backstreet Boys","Shape Of My Heart",230093,0.575,0.786,9,-4.353,1,0.0296,0.252,0,0.159,0.518,96.102,4,76,20
"Max Frost And The Troopers","Shape Of Things To Come",118053,0.444,0.716,5,-5.962,0,0.0442,0.259,0,0.0744,0.724,157.509,4,29,12
"Ed Sheeran","Shape Of You",233712,0.825,0.652,1,-3.183,0,0.0802,0.581,0,0.0931,0.931,95.977,4,86,58
"The Yardbirds","Shapes Of Things",145960,0.432,0.823,0,-9.216,1,0.116,0.249,0.00639,0.0953,0.38,132.212,4,46,11
"The Guess Who","Share The Land",235600,0.445,0.743,6,-3.692,0,0.0294,0.561,2.59e-06,0.524,0.677,80.19,4,42,10
"Aretha Franklin","Share Your Love With Me",198293,0.45,0.463,10,-7.588,1,0.0311,0.556,1.52e-05,0.218,0.687,120.63,3,29,10
"Bobby Bland","Share Your Love With Me",162400,0.245,0.535,5,-5.828,1,0.029,0.414,3.98e-05,0.114,0.438,101.049,4,26,9
"Kenny Rogers","Share Your Love With Me",198666,0.475,0.314,5,-14.053,1,0.0279,0.449,0.00061,0.108,0.404,148.551,4,40,15
"Dr. Hook","Sharing The Night Together",174533,0.619,0.686,1,-9.014,0,0.0615,0.644,0,0.0996,0.757,76.923,4,65,22
"Bobby Vee","Sharing You",123973,0.495,0.443,3,-10.029,1,0.0297,0.382,2.77e-06,0.0996,0.478,109.948,4,21,10
"Mitty Collier","Sharing You",191466,0.293,0.491,8,-7.899,1,0.0916,0.528,0,0.342,0.605,178.979,3,4,2
"V V Brown","Shark In The Water",184293,0.554,0.805,4,-3.128,1,0.0597,0.0279,0,0.359,0.697,98.981,4,50,6
"ZZ Top","Sharp Dressed Man",258026,0.601,0.859,5,-5.263,1,0.0276,0.000359,0.00124,0.0871,0.446,125.145,4,74,9
"O.A.R.","Shattered (Turn The Car Around)",255493,0.571,0.784,11,-6.396,1,0.0352,0.0175,0,0.19,0.462,105.973,4,61,24
"Johnny Hates Jazz","Shattered Dreams",207346,0.655,0.72,10,-9.423,1,0.0312,0.0318,4.71e-05,0.25,0.745,121.311,4,58,19
"Britney Spears","Shattered Glass",172400,0.831,0.489,0,-6.475,0,0.0533,0.0483,1.33e-05,0.074,0.376,120.054,4,45,1
"Laura Branigan","Shattered Glass",221706,0.71,0.956,10,-5.531,1,0.0307,0.406,0.581,0.0673,0.905,120.109,4,31,10
"The Rolling Stones","Shattered",226800,0.734,0.952,4,-2.58,1,0.127,0.454,5.48e-05,0.119,0.74,140.368,4,53,10
"Benny Bell","Shaving Cream",179295,0.674,0.307,10,-12.184,1,0.108,0.891,0,0.233,0.851,100.19,1,17,11
"Lil Mama Featuring Chris Brown & T-Pain","Shawty Get Loose",209506,0.886,0.724,1,-4.229,1,0.246,0.165,0,0.095,0.619,115.072,4,43,12
"The-Dream","Shawty Is A 10",232040,0.742,0.441,7,-5.541,0,0.0403,0.0689,0,0.0715,0.39,74.987,4,50,20
"Plies Featuring T-Pain","Shawty",255413,0.444,0.708,4,-5.926,0,0.126,0.0419,0,0.0775,0.26,105.412,5,63,22
"The Northern Pikes","She Ain't Pretty",163773,0.623,0.787,4,-8.519,0,0.0356,0.112,0,0.139,0.769,133.91,4,44,5
"Glenn Medeiros Featuring Bobby Brown","She Ain't Worth It",216186,0.785,0.91,1,-5.534,1,0.0818,0.117,0,0.0715,0.931,102.746,4,23,18
"Chris Brown","She Ain't You",248106,0.634,0.716,2,-6.502,1,0.128,0.0341,0,0.0877,0.619,91.039,4,59,20
"Cardi B & YG","She Bad",230952,0.791,0.504,10,-7.864,1,0.266,0.0183,0,0.0963,0.355,159.949,4,66,2
"Ricky Martin","She Bangs",280626,0.63,0.95,1,-4.012,1,0.0806,0.000915,6.51e-06,0.373,0.858,143.866,4,57,18
"Kenny Rogers","She Believes In Me",258720,0.32,0.413,10,-12.472,1,0.0314,0.484,4.97e-06,0.346,0.313,142.765,4,59,16
"The Poets","She Blew A Good Thing",169000,0.592,0.687,4,-11.408,1,0.0651,0.275,0.000131,0.252,0.694,125.372,4,17,10
"Cyndi Lauper","She Bop",229266,0.583,0.891,9,-4.565,0,0.0345,0.00088,0.000163,0.103,0.814,136.794,4,51,18
"Joe Cocker","She Came In Through The Bathroom Window",156373,0.563,0.564,2,-9.42,1,0.0273,0.466,5.72e-06,0.136,0.713,88.757,4,48,12
"Paul Petersen","She Can't Find Her Keys",150933,0.573,0.526,11,-10.699,1,0.0425,0.757,0,0.287,0.951,129.561,4,12,12
"Montgomery Gentry","She Couldn't Change Me",260133,0.67,0.823,5,-10.592,1,0.033,0.00436,0.000192,0.318,0.787,117.44,4,41,21
"Jay & The Americans","She Cried",157453,0.418,0.368,10,-10.726,0,0.0271,0.747,0.00115,0.124,0.552,99.952,4,26,14
"The Lettermen","She Cried",264306,0.317,0.434,2,-9.53,1,0.0266,0.657,0.000166,0.109,0.225,102.33,4,6,7
"Eric Carmen","She Did It",227173,0.646,0.579,3,-10.693,1,0.0333,0.431,0,0.104,0.764,112.873,4,19,16
"Dee Dee Warwick","She Didn't Know (She Kept On Talking)",231933,0.309,0.29,9,-17.474,1,0.0484,0.638,0,0.0759,0.341,143.508,4,35,8
"Sean Paul","She Doesn't Mind",227786,0.718,0.776,7,-5.208,0,0.0693,0.000624,5.3e-06,0.207,0.622,120.015,4,52,1
"Bon Jovi","She Don't Know Me",242400,0.553,0.974,3,-3.949,1,0.0741,0.000343,4.39e-05,0.258,0.384,127.89,4,41,11
"Dan Fogelberg","She Don't Look Back",285066,0.672,0.756,4,-6.468,1,0.0395,0.0458,0.000102,0.0521,0.968,142.427,4,18,6
"Eric Paslay","She Don't Love You",262053,0.36,0.333,7,-8.491,1,0.0285,0.335,1.09e-06,0.114,0.17,74.53,1,58,12
"Joe Budden Featuring Lil Wayne & Tank","She Don't Put It Down",257416,0.484,0.756,11,-6.948,0,0.16,0.000369,0,0.115,0.39,102.825,5,43,1
"Montgomery Gentry","She Don't Tell Me To",187213,0.459,0.703,5,-5.294,1,0.0338,0.0606,0,0.0889,0.39,159.856,4,33,16
"The Flaming Lips","She Don't Use Jelly",222278,0.33,0.556,7,-11.494,1,0.0796,0.207,4.39e-05,0.315,0.506,173.828,4,60,20
"Fine Young Cannibals","She Drives Me Crazy",215773,0.799,0.687,2,-5.682,1,0.0431,0.193,0.000188,0.0307,0.965,108.804,4,72,23
"2 Pistols Featuring T-Pain & Tay Dizm","She Got It",274053,0.406,0.732,10,-6.191,0,0.128,0.00436,0,0.358,0.31,133.817,4,53,20
"Luke Combs","She Got The Best Of Me",183160,0.533,0.907,11,-3.793,1,0.0406,0.0292,0,0.386,0.7,150.99,4,79,23
"Jerry Reed","She Got The Goldmine (i Got The Shaft)",196173,0.77,0.689,9,-14.337,1,0.312,0.384,0,0.231,0.805,110.866,4,47,9
"Puddle Of Mudd","She Hates Me",216760,0.58,0.748,4,-5.433,1,0.0323,0.00935,0,0.753,0.584,109.781,4,70,23
"Parachute","She Is Love",146066,0.622,0.175,6,-9.866,1,0.156,0.683,0,0.109,0.376,136.365,1,61,7
"The Lovin' Spoonful","She Is Still A Mystery",179333,0.299,0.453,5,-11.035,1,0.0404,0.281,0,0.312,0.39,122.09,4,21,6
"Kid Cudi","She Knows This",216560,0.39,0.724,6,-7.607,0,0.0889,0.162,0,0.393,0.312,165.945,4,68,1
"J. Cole Featuring Amber Coffman & The Cults","She Knows",296520,0.766,0.739,1,-10.364,1,0.0805,0.0192,0.0794,0.229,0.185,118.005,4,69,5
"Ne-Yo Featuring Juicy J","She Knows",214725,0.706,0.572,8,-5.799,0,0.0326,0.0262,0,0.585,0.574,139.982,4,61,20
"George Strait","She Let Herself Go",198213,0.657,0.577,6,-7.832,0,0.0266,0.135,1.41e-05,0.0853,0.38,114.039,4,51,19
"Gene Pitney","She Lets Her Hair Down (Early In The Morning)",163986,0.617,0.619,8,-7.74,1,0.0369,0.418,2.43e-05,0.0554,0.694,122.054,4,5,5
"Clocks","She Looks A Lot Like You",151900,0.491,0.837,4,-5.19,0,0.0441,0.143,0.00456,0.284,0.766,128.002,4,6,5
"5 Seconds Of Summer","She Looks So Perfect",202496,0.493,0.956,1,-4.221,0,0.138,0.000668,0,0.416,0.47,160.006,4,70,20
"Papa Roach","She Loves Me Not",209572,0.582,0.953,2,-4.513,1,0.101,0.00104,0,0.297,0.398,119.197,4,60,12
"Ronnie Milsap","She Loves My Car",239786,0.763,0.534,5,-8.772,1,0.0339,0.0532,0,0.307,0.781,126.287,4,12,4
"Charlie","She Loves To Be In Love",265893,0.54,0.645,2,-12.19,1,0.0671,0.212,0.0164,0.0743,0.568,77.43,4,9,7
"The Beatles","She Loves You",140920,0.377,0.916,4,-3.199,0,0.0481,0.26,0,0.074,0.912,75.533,4,69,15
"Toby Keith","She Never Cried In Front Of Me",239506,0.458,0.621,7,-4.553,1,0.0306,0.374,0,0.0999,0.34,145.904,4,44,20
"Joe Nichols","She Only Smokes When She Drinks",202040,0.637,0.463,4,-7.714,1,0.0329,0.0527,2.97e-05,0.111,0.2,78.04,4,44,5
"Timi Yuro","She Really Loves You",165426,0.378,0.355,4,-10.01,1,0.0363,0.898,0.000575,0.323,0.211,79.627,3,17,2
"Wilson Pickett","She Said Yes",195373,0.671,0.5,0,-15.499,1,0.028,0.289,1.7e-05,0.441,0.783,94.041,4,8,5
"Clifford Curry","She Shot A Hole In My Soul",251373,0.81,0.741,0,-4.918,1,0.0415,0.339,5.51e-06,0.124,0.922,113.044,4,7,3
"The Black Crowes","She Talks To Angels",329400,0.584,0.521,4,-5.782,1,0.0295,0.06,7.56e-05,0.22,0.317,160.058,4,65,16
"Kenny Chesney","She Thinks My Tractor's Sexy",248066,0.689,0.886,10,-7.066,0,0.0382,0.0664,0,0.278,0.906,122.07,4,64,12
"Andy Griggs","She Thinks She Needs Me",239000,0.497,0.568,0,-7.67,1,0.0285,0.0788,0,0.223,0.386,138.107,4,49,16
"Aaron Neville","She Took You For A Ride",199360,0.421,0.347,5,-10.805,1,0.0341,0.59,4.21e-06,0.19,0.869,181.566,4,21,4
"Ca$h Out","She Twerkin",172466,0.837,0.762,2,-4.073,1,0.0508,0.000644,0,0.113,0.334,142.009,4,54,3
"Johnny Tillotson","She Understands Me",119906,0.671,0.573,4,-9.376,1,0.0349,0.709,0,0.262,0.745,105.903,4,14,11
"Rick Astley","She Wants To Dance With Me",196440,0.655,0.83,6,-12.111,1,0.0515,0.0873,4.74e-05,0.268,0.946,118.031,4,46,18
"The Rolling Stones","She Was Hot",281173,0.481,0.969,7,-4.253,1,0.0643,0.0383,0.0653,0.106,0.686,153.088,4,33,9
"Mark Chesnutt","She Was",201173,0.398,0.54,3,-9.31,1,0.0276,0.0118,0,0.0684,0.447,177.168,4,28,11
"Maroon 5","She Will Be Loved",259453,0.641,0.667,0,-5.505,0,0.0254,0.249,0,0.0987,0.51,102.002,4,81,41
"Shakira","She Wolf",188866,0.865,0.69,7,-7.448,1,0.0444,0.289,0.0138,0.225,0.868,121.983,4,65,20
"Clay Walker","She Won't Be Lonely Long",209253,0.635,0.758,7,-5.772,1,0.0243,0.00643,0,0.229,0.322,113.002,4,66,18
"Luther Vandross","She Won't Talk To Me",276226,0.764,0.857,1,-6.58,0,0.0371,0.226,0,0.102,0.968,116.923,4,21,12
"Donna Summer","She Works Hard For The Money",320840,0.765,0.639,8,-12.963,0,0.0382,0.00669,0.0122,0.0798,0.986,136.495,4,59,21
"Blake Shelton","She Wouldn't Be Gone",215613,0.509,0.662,0,-4.873,1,0.0293,0.153,0,0.0773,0.231,160.129,4,49,20
"The Turtles","She'd Rather Be With Me",141840,0.489,0.775,6,-11.057,1,0.0315,0.271,0.000754,0.152,0.939,124.335,4,47,11
"Vikki Carr","She'll Be There",155666,0.471,0.227,11,-14.593,1,0.0356,0.376,1.98e-05,0.251,0.33,96.744,4,18,3
"George Strait","She'll Leave You With A Smile",178773,0.628,0.566,4,-7.23,1,0.0224,0.602,0.000216,0.202,0.501,97.998,4,54,20
"Carl Carlton","She's A Bad Mama Jama (She's Built, She's Stacked)",234706,0.878,0.595,0,-6.038,1,0.073,0.109,0,0.0457,0.649,114.249,4,62,21
"The Tubes","She's A Beauty",240666,0.689,0.789,2,-8.565,1,0.0359,0.0684,0.000516,0.297,0.631,110.739,4,51,20
"Lesley Gore","She's A Fool",127000,0.54,0.362,3,-12.282,1,0.0305,0.8,0,0.311,0.568,121.147,4,30,15
"Gene Pitney","She's A Heartbreaker",196813,0.75,0.817,0,-6.274,1,0.0428,0.228,0.0018,0.126,0.949,126.524,4,16,13
"Toby Keith","She's A Hottie",188920,0.565,0.91,9,-3.05,0,0.0473,0.111,0,0.182,0.741,94.945,4,42,11
"John Sebastian","She's A Lady",104333,0.326,0.114,6,-21.525,0,0.0368,0.814,6.9e-06,0.106,0.277,70.233,5,18,4
"Tom Jones","She's A Lady",174146,0.51,0.876,2,-9.101,1,0.161,0.212,0,0.248,0.624,119.702,4,61,14
"The Rolling Stones","She's A Rainbow",251760,0.46,0.78,10,-8.991,1,0.0409,0.456,0.00571,0.343,0.567,109.389,4,56,7
"Simple Minds","She's A River",332560,0.37,0.854,2,-7.018,1,0.0812,0.00147,5.74e-06,0.0586,0.181,184.068,4,43,9
"Billy Squier","She's A Runner",243266,0.281,0.823,7,-5.044,1,0.0509,0.0395,0.0056,0.0812,0.515,209.758,4,32,6
"The Beatles","She's A Woman",182880,0.72,0.513,9,-9.217,1,0.0317,0.367,0.000364,0.0677,0.961,88.628,4,45,9
"Sir Douglas Quintet","She's About A Mover",145146,0.632,0.805,4,-5.063,1,0.0286,0.169,3.46e-06,0.068,0.86,89.641,4,38,12
